seed,radius,radius_share,best_solution,best_solution_km,niches,niches_kms
173386297,8,14,[12  9 14 14 20 14 12 12 12 14 12 19  8 13 15 15],501.328,"[[ 9  9 20 14 16 15 15 11  8 13 15 19  8 13 15 15]
 [12  9 14 14 20 14 12 12 12 14 12 19  8 13 15 15]
 [10 10 16 14 18 13 12 11 12 12 14 18 13 13 15 14]
 [10 10 16 14 18 14 14 11 12 15 13 18  8 13 15 14]
 [ 8  8 18 14 20 14 12 12  8 14 12 24  9 13 15 14]]",[513.423 501.328 513.698 506.44  510.223]
78746995,8,14,[10  8 14 14 20 14 12 10 12 15 13 23  8 13 15 14],505.827,"[[12  9 15 14 19 14 12 13  8 17 12 19  9 13 15 14]
 [10  8 14 14 20 14 12 10 12 15 13 23  8 13 15 14]
 [11  9 19 14 19 14 14 13  8 13 12 19  8 13 15 14]
 [12 10 20 14 15 14 15  9  8 14 15 19  8 13 15 14]
 [13 10 16 14 20 14 12 11  8 13 12 19 11 13 15 14]]",[506.86  505.827 507.066 511.041 507.585]
95206404,8,14,[14  8 15 14 20 14 12 12 12 14 10 20  8 13 15 14],500.511,"[[12  8 17 14 17 14 15  9 12 12 13 22  8 13 15 14]
 [12  8 16 14 16 14 12  9 12 16 14 19  8 13 15 17]
 [10  8 16 14 19 14 12 10 12 12 14 23  8 13 15 15]
 [14  8 15 14 20 14 12 12 12 14 10 20  8 13 15 14]
 [12  9 16 14 16 17 14 11 12 12 13 19  8 13 15 14]]",[506.226 510.094 504.355 500.511 509.609]
56428042,8,16,[12 10 18 14 19 14 13 10  8 13 14 18 10 13 15 14],508.261,"[[11  8 18 14 14 14 15 11  8 14 14 24  8 13 15 14]
 [10  8 15 14 16 14 14 10  8 19 14 22  9 13 15 14]
 [11  9 14 14 17 14 13 10 12 16 13 19  8 13 15 17]
 [12 10 18 14 19 14 13 10  8 13 14 18 10 13 15 14]
 [12 13 13 15 15 14 14 10 12 13 15 18  8 13 15 15]]",[512.405 513.947 510.457 508.261 515.609]
27886648,8,16,[16  8 13 16 19 14 12 12 12 10 10 23  8 13 15 14],502.768,"[[17  8 17 14 16 16 12 12  8 12 12 21  8 13 15 14]
 [11  9 18 14 19 14 13  9 12 13 14 19  8 13 15 14]
 [10  8 16 14 18 14 12  9 12 13 15 23  8 13 15 15]
 [12  9 13 13 20 14 13 12  8 15 12 22  8 13 15 16]
 [16  8 13 16 19 14 12 12 12 10 10 23  8 13 15 14]]",[509.662 503.308 505.9   507.922 502.768]
173386297,8,16,[13  8 13 13 20 14 12 12 12 14 12 22  8 13 15 14],503.273,"[[12 10 19 14 19 15 13 12  8 13 12 18  8 13 15 14]
 [13  8 13 13 20 14 12 12 12 14 12 22  8 13 15 14]
 [18  9 13 13 15 14 14 10  8 13 13 23  8 13 15 16]
 [11  9 17 14 20 14 12  9 12 14 14 19  8 13 15 14]
 [12  8 21 15 15 14 13  9  8 13 15 20  8 13 15 16]]",[505.279 503.273 517.857 503.755 511.726]
78746995,8,16,[12  8 16 15 20 14 12 12 12 11 12 21  8 13 15 14],500.567,"[[11  9 18 14 16 14 14  9  8 13 16 19  9 13 15 17]
 [12  8 16 15 20 14 12 12 12 11 12 21  8 13 15 14]
 [18  9 16 14 18 14 12 12  8 13 12 19  8 13 15 14]
 [12  9 20 14 16 14 12  9 12 13 14 19  8 13 15 15]
 [12  9 17 15 16 14 14  9 12 12 15 19  8 13 15 15]]",[512.651 500.567 503.657 505.089 506.002]
95206404,8,16,[12  9 14 14 20 14 12 12 12 15 12 19  8 13 15 14],500.84,"[[11 10 15 14 16 16 15  9  8 13 16 21  8 13 15 15]
 [10  8 15 14 17 14 12 11 12 17 13 22  8 13 15 14]
 [14  8 17 14 20 14 13  9  8 12 13 23  8 13 15 14]
 [12  9 14 14 20 14 12 12 12 15 12 19  8 13 15 14]
 [11 10 17 15 17 15 14  9  8 15 16 18  8 13 15 14]]",[517.678 506.961 503.913 500.84  513.38 ]
56428042,10,6,[10  9 21 15 18 14 12 10 12 11 14 19  8 13 15 14],503.809,"[[12  7 15 14 16 15 12 12  8 18 12 24  8 13 15 14]
 [ 9  9 14 16 16 14 14 11  8 18 16 19  9 13 15 14]
 [10 10 16 14 17 17 14 10 12 12 14 18  8 13 15 15]
 [10  9 21 15 18 14 12 10 12 11 14 19  8 13 15 14]
 [11 10 15 14 17 14 13  9 12 14 15 18  8 13 15 17]]",[512.082 518.548 510.108 503.809 507.39 ]
27886648,10,6,[11  8 14 14 19 14 12 10 12 13 14 22  8 13 15 16],506.835,"[[12 10 17 14 15 14 15  9  8 15 15 18  8 13 15 17]
 [ 9  9 13 14 19 16 13 18  8 15 12 19  8 13 15 14]
 [11  8 14 14 19 14 12 10 12 13 14 22  8 13 15 16]
 [10  9 14 14 19 14 12 10 12 18 14 19  8 13 15 14]
 [11 10 15 14 15 14 13 11 12 19 13 18  8 13 15 14]]",[513.065 518.515 506.835 507.233 511.38 ]
